Date,companyid,DayOpen,DayClose
2020-10-13,0,166.85658800375,165.200912475586
2020-10-14,0,165.577640871152,166.955718994141
2020-10-15,0,164.625885881621,167.629898071289
2020-10-16,0,168.482527538075,169.503692626953
2020-10-19,0,169.553264844142,168.09587097168
2020-10-20,0,169.037718620427,169.483856201172
2020-10-21,0,168.879079921926,167.719116210938
2020-10-22,0,168.185095411911,169.24592590332
2020-10-23,0,170.445532538356,168.343719482422
2020-10-26,0,166.241892468813,164.734939575195
2020-10-27,0,163.089166553432,159.64892578125
2020-10-28,0,158.439400616583,157.170379638672
2020-10-29,0,156.75398195142,157.120803833008
2020-10-30,0,156.972094261134,158.588119506836
2020-11-02,0,160.798989095108,161.542556762695
2020-11-03,0,163.446080646876,164.09049987793
2020-11-04,0,161.354175459493,158.786392211914
2020-11-05,0,160.769249630529,161.800323486328
2020-11-06,0,162.256382417447,161.621871948242
2020-11-09,0,172.636579138534,162.028335571289
2020-11-10,0,163.773256876428,167.689376831055
2020-11-11,0,169.265741997932,167.7587890625
2020-11-12,0,166.707866415134,165.617309570313
2020-11-13,0,166.479844034836,168.333801269531
2020-11-16,0,171.139525854323,172.368896484375
2020-11-17,0,171.55592716289,172.150787353516
2020-11-18,0,173.00341177277,169.929992675781
2020-11-19,0,170.570007324219,171.610000610352
2020-11-20,0,171.5,172.889999389648
2020-11-23,0,173.759994506836,174.139999389648
2020-11-24,0,175,177.080001831055
2020-11-25,0,176.839996337891,177.119995117188
2020-11-27,0,177.820007324219,176.889999389648
2020-11-30,0,175.770004272461,172.729995727539
2020-12-01,0,174.220001220703,170.520004272461
2020-12-02,0,170.259994506836,171.850006103516
2020-12-03,0,171.039993286133,171.830001831055
2020-12-04,0,172.130004882813,172.460006713867
2020-12-07,0,171.720001220703,170.149993896484
2020-12-08,0,169.740005493164,172.460006713867
2020-12-09,0,172.669998168945,175.289993286133
2020-12-10,0,174.869995117188,173.490005493164
2020-12-11,0,172.300003051758,174.020004272461
2020-12-14,0,175.669998168945,173.080001831055
2020-12-15,0,174.389999389648,174.679992675781
2020-12-16,0,174.610000610352,175.410003662109
2020-12-17,0,176,176.649993896484
2020-12-18,0,176.759994506836,176.419998168945
2020-12-21,0,173.610000610352,175.660003662109
2020-12-22,0,175.050003051758,174.779998779297
2020-12-23,0,175.300003051758,173.990005493164
2020-12-24,0,174.419998168945,174.520004272461
2020-12-28,0,175.309997558594,174.710006713867
2020-12-29,0,175.550003051758,173.850006103516
2020-12-30,0,173.880004882813,174.110000610352
2020-12-31,0,174.119995117188,174.789993286133
2021-01-04,0,175,171.869995117188
2021-01-05,0,172.009994506836,171.580001831055
2021-01-06,0,172.720001220703,174.190002441406
2021-01-07,0,171.559997558594,169.720001220703
2021-01-08,0,169.169998168945,166.619995117188
2021-01-11,0,166.100006103516,165.199996948242
2021-01-12,0,165.899993896484,166.509994506836
2021-01-13,0,167.270004272461,166.883407592773
2020-10-13,1,165.360000610352,162.139999389648
2020-10-14,1,162.699996948242,163.240005493164
2020-10-15,1,161.009994506836,164.240005493164
2020-10-16,1,171.220001220703,167.350006103516
2020-10-19,1,169.089996337891,167.110000610352
2020-10-20,1,168.289993286133,167.240005493164
2020-10-21,1,166.440002441406,163.860000610352
2020-10-22,1,164.699996948242,169.070007324219
2020-10-23,1,169.990005493164,167.360000610352
2020-10-26,1,164.949996948242,160.830001831055
2020-10-27,1,159.160003662109,155.240005493164
2020-10-28,1,153,148.139999389648
2020-10-29,1,148.029998779297,148.289993286133
2020-10-30,1,147.199996948242,144.389999389648
2020-11-02,1,145.75,148.600006103516
2020-11-03,1,151.830001831055,153.649993896484
2020-11-04,1,153.169998168945,151.630004882813
2020-11-05,1,152.479995727539,157.089996337891
2020-11-06,1,156.330001831055,157.740005493164
2020-11-09,1,179,179.360000610352
2020-11-10,1,182.800003051758,188.690002441406
2020-11-11,1,189.889999389648,182.149993896484
2020-11-12,1,178.949996948242,176.720001220703
2020-11-13,1,179,187.110000610352
2020-11-16,1,194.559997558594,202.399993896484
2020-11-17,1,200.25,210.050003051758
2020-11-18,1,223.020004272461,203.300003051758
2020-11-19,1,200.449996948242,205.669998168945
2020-11-20,1,204.589996337891,199.619995117188
2020-11-23,1,203.240005493164,211.529998779297
2020-11-24,1,219.429992675781,218.490005493164
2020-11-25,1,217.710006713867,217.610000610352
2020-11-27,1,218.25,216.5
2020-11-30,1,215.699996948242,210.710006713867
2020-12-01,1,214.309997558594,213.009994506836
2020-12-02,1,213.009994506836,223.850006103516
2020-12-03,1,228.300003051758,237.199996948242
2020-12-04,1,236.360000610352,232.710006713867
2020-12-07,1,238.5,238.169998168945
2020-12-08,1,238.699996948242,236.570007324219
2020-12-09,1,238.639999389648,232.059997558594
2020-12-10,1,228.100006103516,234.429992675781
2020-12-11,1,232.820007324219,230.330001831055
2020-12-14,1,235,228.619995117188
2020-12-15,1,230,229.5
2020-12-16,1,229.330001831055,225.869995117188
2020-12-17,1,227.240005493164,221.240005493164
2020-12-18,1,222.050003051758,219.75
2020-12-21,1,212.339996337891,219.309997558594
2020-12-22,1,223.279998779297,218.779998779297
2020-12-23,1,219.550003051758,219.690002441406
2020-12-24,1,219.619995117188,217.149993896484
2020-12-28,1,218.190002441406,216.089996337891
2020-12-29,1,218.300003051758,216.25
2020-12-30,1,216.360000610352,216.669998168945
2020-12-31,1,216.240005493164,214.059997558594
2021-01-04,1,210,202.720001220703
2021-01-05,1,204.740005493164,211.630004882813
2021-01-06,1,210.220001220703,211.029998779297
2021-01-07,1,213.389999389648,212.710006713867
